Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
2284,853,Kleinkinderbecken,ja,,140,,,nein,nein,,,,nein,"Technische Wasserreinigung (Chlor), Sonnensegel, Kleinkindrutsche, Spielbach, Wasserschirm, div. Wasserspiele",nein,nein,nein,nein,nein,nein,nein,nein,,
2274,854,Schwimmerbecken,nein,,1050,,,ja,nein,2,2,,nein,,,,,,,,,,,8
2275,854,Nichtschwimmerbecken,ja,,992,,,nein,nein,,,,nein,,,,,,,,,,,
2278,854,Springerbecken,ja,,135,,,ja,nein,4.5,4.5,,,,,,,,,,,,,
2282,854,Kleinkinderbecken,nein,,6,,,nein,nein,,,,nein,"Wasserkanone und Boot",,,,,,,,,,
2288,855,Schwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,nein,nein,nein,,,ja,,
2289,855,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2290,855,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2287,857,Kleinkinderbecken,ja,,389.25,,,,nein,,,,nein,,,,,,,,,,,
2291,858,Kursbecken,nein,,64,,,,,,,,nein,,,,,,,,,,,
2292,859,Schwimmerbecken,,1,100,25,4,ja,nein,,,,ja,,ja,nein,nein,nein,nein,nein,ja,ja,,3
2293,859,Kleinkinderbecken,,1,20,5,4,nein,ja,,,,nein,,ja,nein,nein,nein,nein,nein,ja,ja,,
2297,862,Schwimmerbecken,,,,25,,,,1.9,2,,,,,,,,,,,,,5
2298,862,Nichtschwimmerbecken,,,,,,,,0.8,1.35,,,,,,,,,,,,,
2302,862,Nichtschwimmerbecken,,,,,,ja,,,1.35,,,,,,,,,,,,,
2303,862,Kleinkinderbecken,,,,,,nein,,0.1,0.3,,,,,,,,,,,,,
2304,862,Schwimmerbecken,,,,50,,,,1.7,3.5,,,,,,,,,,,,,6
2305,862,Nichtschwimmerbecken,,,,,,,,0.75,1.35,,,,,,,,,,,,,
2306,865,Schwimmerbecken,nein,,,50,21,ja,nein,1.8,1.8,,nein,,,,,,,,,,,8
2307,865,Nichtschwimmerbecken,ja,,,,,nein,nein,0.8,1.35,,nein,"Wasserspeier, Wasserpilz und Massagedüsen",,,,,,,,,,
2308,865,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,Elefantenrutsche,,,,,,,,,,
2309,865,Springerbecken,nein,,,12.5,15,nein,nein,3.4,4,,,,,,,,,,,,,
2310,866,Nichtschwimmerbecken,nein,,,12.5,6,nein,nein,0.7,1.25,,nein,,,,,,,,,,,
2311,866,Schwimmerbecken,nein,,,25,12.5,ja,nein,1.8,1.8,,nein,,,,,,,,,,,5
2312,867,Schwimmerbecken,nein,,,50,18,nein,nein,1.6,1.8,,nein,,,,,,,,,,,
2313,867,Nichtschwimmerbecken,ja,,,,,nein,nein,0.7,1.3,,nein,,,,,,,,,,,
2314,867,Springerbecken,nein,,,12,10,ja,nein,4.5,4.5,,,,,,,,,,,,,
2315,867,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2316,868,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2317,868,Schwimmerbecken,,,,50,,,,,,,nein,,,,,,,,,,,
2318,868,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2319,868,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
2320,869,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2321,869,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
2322,869,Schwimmerbecken,,,,50,,,,,,,,,,,,,,,,,,
2323,869,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2324,870,Schwimmerbecken,,,,50,,,,,,,,,,,,,,,,,,
2325,870,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2326,871,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2327,871,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2328,871,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2329,872,Wellenbecken,ja,,,,,,,,,,nein,,,,,,,,,,,
2330,872,Schwimmerbecken,nein,,,25,,,nein,,,,nein,,,,,,,,,,,5
2331,872,Warmsprudelbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2333,872,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2334,872,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2332,873,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,ja,ja,nein,nein,ja,ja,ja,ja,,8
19886,873,Kursbecken,nein,,,,,ja,nein,,,,nein,,ja,,nein,nein,,,,ja,,
19887,873,Variobecken,ja,,,,,ja,nein,,,,nein,,nein,nein,nein,nein,nein,nein,nein,nein,,
19888,873,Kursbecken,nein,,,,,ja,nein,,,,nein,,ja,,nein,nein,,,,ja,,
19889,873,Variobecken,ja,,,,,ja,nein,,,,nein,,nein,nein,nein,nein,nein,nein,nein,nein,,
2335,874,Schwimmerbecken,nein,,,50,,,nein,,,,ja,,,,,,,,,,,
19765,877,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
19766,877,Schwimmerbecken,nein,,,,,,,,,,,,,,,,,,,,,7
19767,877,Kleinkinderbecken,nein,,,,,ja,nein,,,,nein,,,,,,,,,,,0
2337,882,Nichtschwimmerbecken,,,,19,9,nein,nein,,1,,nein,Hublift,,,,,,,,,,
2338,882,Schwimmerbecken,nein,,,25,12,nein,nein,0,2,,nein,,,,,,,,,,,
2339,882,Tauchbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2340,883,Schwimmerbecken,nein,,,50,15,nein,nein,3,0,,nein,,,,,,,,,,,6
2341,884,Nichtschwimmerbecken,nein,,,10,15,nein,nein,,1,,nein,,,,,,,,,,,0
2342,884,Nichtschwimmerbecken,nein,,,10,15,nein,nein,,1,,nein,,,,,,,,,,,0
2343,884,Schwimmerbecken,nein,,,50,15,nein,nein,,1,,nein,,,,,,,,,,,7
2344,884,Schwimmerbecken,nein,,,50,20,nein,nein,,1,,ja,"Wasserrollstuhl, taktile Leitstreifen",,,,,,,,,,8
2345,884,Springerbecken,nein,,,,,,,,3,,ja,,,,,,,,,,,
2346,884,Springerbecken,nein,,,,,,,,3,,ja,,,,,,,,,,,
2347,884,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2348,885,Nichtschwimmerbecken,nein,,,12,,,,0,1,,nein,,,,,,,,,,,
2349,885,Schwimmerbecken,nein,,,25,,,,1,3,,nein,,,,,,,,,,,
2350,886,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,4
2351,886,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.45,,nein,,,,,,,,,,,
2354,888,Schwimmerbecken,ja,,,,,nein,nein,0.6,1.8,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,4
2355,888,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2356,889,Schwimmerbecken,nein,,,37,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2357,890,Schwimmerbecken,ja,,765,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2358,891,Schwimmerbecken,nein,,,50,,nein,nein,,,,ja,,,,,,,,,,,
2359,891,Schwimmerbecken,nein,,,50,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2360,892,Schwimmerbecken,nein,,,50,35,nein,nein,0.6,3.5,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2361,892,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2362,893,Schwimmerbecken,nein,,,50,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2363,893,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2364,894,Schwimmerbecken,nein,,,50,24,nein,nein,1.2,3.3,,nein,,,,,,,,,,,
2365,894,Nichtschwimmerbecken,nein,,,25,24,nein,nein,0.9,1.1,,nein,,,,,,,,,,,
2366,894,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.5,,nein,,,,,,,,,,,
2367,895,Schwimmerbecken,nein,,,,,nein,nein,,,,ja,,,,,,,,,,,
2368,896,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,5
2369,896,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2370,897,Schwimmerbecken,nein,,,25,18,,nein,,,,nein,,,,,,,,,,,
2371,897,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2372,898,Schwimmerbecken,nein,,,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2373,899,Schwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2374,899,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2376,901,Schwimmerbecken,nein,,,50,25,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,8
2377,901,Kleinkinderbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
2378,902,Schwimmerbecken,nein,,,,,,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2379,903,Schwimmerbecken,nein,,,50,,,nein,,,,ja,,,,,,,,,,,5
2380,903,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2381,903,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2382,904,Schwimmerbecken,nein,,,25,,,nein,,,,ja,,,,,,,,,,,5
2383,904,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2384,904,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2385,904,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,Wasserspiele,,,,,,,,,,
2386,904,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,Sole-Becken,,,,,,,,,,
2387,904,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2388,905,Schwimmerbecken,nein,,,16.2,11,nein,nein,0.6,2,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,4
2389,906,Schwimmerbecken,ja,,,,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,6
2390,906,Kleinkinderbecken,nein,,,,,,nein,,,,nein,sonnengeschützt,,,,,,,,,,
2391,907,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
2392,908,Nichtschwimmerbecken,nein,,,30,15,nein,nein,0.65,1.35,,nein,"Duschpilz, behindertengerecht",,,,,,,,,,
2393,908,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2394,909,Schwimmerbecken,nein,,,50,22,nein,nein,1.8,4.2,,ja,,,,,,,,,,,8
2395,909,Nichtschwimmerbecken,nein,,,20,22,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
2396,909,Kleinkinderbecken,ja,,,3,2,ja,nein,0.3,0.3,,nein,Sonnenschutz,,,,,,,,,,
2397,910,Schwimmerbecken,nein,,,50,,,nein,,,,nein,,,,,,,,,,,
2398,911,Schwimmerbecken,nein,,,33,22,,nein,,,,ja,,,,,,,,,,,
2399,911,Nichtschwimmerbecken,nein,,,12.3,20,,nein,,,,nein,,,,,,,,,,,
2400,911,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2402,912,Schwimmerbecken,nein,,,25,12.5,ja,nein,1.8,1.8,,nein,,,,,,,,,,,
2403,912,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2404,912,Nichtschwimmerbecken,ja,,,,,nein,nein,0.9,1.3,,nein,,,,,,,,,,,
2405,912,Kursbecken,,,155,,,nein,nein,0.9,1.35,,nein,,,,,,,,,,,
2406,912,Kleinkinderbecken,ja,,45,,,nein,nein,0.1,0.5,,nein,"Ritterburg mit Wasserkanone",,,,,,,,,,
2407,912,Nichtschwimmerbecken,ja,,,,,ja,nein,1.35,1.35,,nein,Sole-Becken,,,,,,,,,,
2408,913,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2409,913,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2410,913,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2411,913,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2412,914,Nichtschwimmerbecken,nein,,,25,,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2413,915,Schwimmerbecken,ja,,,50,30,nein,nein,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
2414,915,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.35,,nein,,,,,,,,,,,
2415,916,Schwimmerbecken,nein,,,20,30,nein,nein,,,,nein,"Nichtschwimmerbereich integriert",,,,,,,,,,
2416,916,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2417,917,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2418,918,Nichtschwimmerbecken,ja,,,,,nein,nein,0.6,1.25,,nein,,,,,,,,,,,
2419,918,Schwimmerbecken,nein,,,25,10,ja,nein,1.8,1.8,,nein,,,,,,,,,,,4
2420,918,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.45,,nein,,,,,,,,,,,
2421,919,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2422,919,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2423,919,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2426,919,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
2424,920,Schwimmerbecken,nein,,,50,15,nein,nein,0.6,1.8,,ja,,,,,,,,,,,6
2425,920,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.35,,nein,,,,,,,,,,,
2432,923,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2433,923,Kleinkinderbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2434,923,Schwimmerbecken,nein,,,25,,,nein,,,,nein,,,,,,,,,,,5
2435,924,Nichtschwimmerbecken,nein,,,21.5,12,nein,nein,0.6,1.15,,nein,,,,,,,,,,,
2436,924,Schwimmerbecken,nein,,,50,21,nein,nein,1.6,3.2,,nein,,,,,,,,,,,
2437,924,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2438,925,Schwimmerbecken,nein,,,,,,nein,,,,ja,,,,,,,,,,,8
2439,925,Nichtschwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
2440,926,Schwimmerbecken,nein,,,25,10,ja,nein,1.8,1.8,,,"Nichtschwimmerbereich integriert",,,,,,,,,,
2441,926,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.5,,nein,,,,,,,,,,,
2442,927,Schwimmerbecken,ja,,,25,,nein,nein,0.6,3.4,,ja,,,,,,,,,,,5
2443,927,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2444,927,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2445,928,Schwimmerbecken,nein,,,,,nein,nein,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
2446,928,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2447,929,Schwimmerbecken,nein,,,25,12.5,nein,nein,0.6,3.2,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
2448,929,Kleinkinderbecken,nein,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2449,931,Schwimmerbecken,ja,,1250,,,ja,nein,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
2450,931,Kleinkinderbecken,ja,,140,,,,nein,,,,nein,,,,,,,,,,,
2454,932,Nichtschwimmerbecken,nein,,,,,nein,nein,0.8,1.35,,nein,,,,,,,,,ja,,
2455,932,Schwimmerbecken,nein,,,25,15,nein,nein,1.8,3.5,,ja,,ja,ja,,ja,,ja,ja,ja,,6
2456,932,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.4,,nein,,,,,,,,,,,
2457,932,Kursbecken,nein,,,15,7,nein,nein,0.8,1.35,,nein,,,,,,,,,ja,,
2458,932,Tauchbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2459,933,Schwimmerbecken,,,,50,,,,,,,,,,,,,,,,,,
2460,933,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2461,934,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2462,934,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
2471,934,Schwimmerbecken,,,,25,,,,,,,,,,,,,,,,,,
2472,934,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2473,934,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2474,934,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
2463,935,Kleinkinderbecken,ja,,,,,nein,nein,0.2,0.9,,nein,"Kinderrutsche, Bodenblubbern, Wasserspielteller",,,,,,,,,,
2464,935,Nichtschwimmerbecken,ja,,,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
2465,935,Nichtschwimmerbecken,ja,,400,,,nein,nein,,,,nein,,,,,,,,,,,
2466,935,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2467,935,Schwimmerbecken,nein,,,25,12.5,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
2468,935,Schwimmerbecken,nein,,,25,10,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
2469,935,Tauchbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2470,935,Kaltwasser-Tretbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
2475,936,Schwimmerbecken,nein,,,22.75,9.1,nein,nein,,,,nein,,nein,nein,nein,nein,nein,nein,nein,ja,,
2476,937,Schwimmerbecken,nein,,,50,,nein,,1.36,4,,,,ja,,,,,,ja,,,8
6364,937,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
6366,937,Kleinkinderbecken,ja,,,,,nein,nein,,,,,,,,,,,,,,,
6367,937,Kursbecken,nein,,,,,,,,,,nein,,,,,,,,,,,
6368,937,Tauchbecken,nein,,,,,,,,,,,,,,,,,,,,,
6369,937,Schwimmerbecken,ja,,,,,,,,,,nein,"Erlebnisbecken + Whirlpool",,,,,,,,,,
6370,937,Schwimmerbecken,nein,,,,,,,,,,nein,"Außenpool mit Jaccuzi",,,,,,,,,,
2477,938,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,8
2478,938,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2479,938,Schwimmerbecken,nein,,,25,,ja,nein,,,,nein,,,,,,,,,,,8
2480,938,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2481,939,Schwimmerbecken,nein,,,25,20,nein,,,3.2,,,,,,,,,,,,,
2482,940,Schwimmerbecken,nein,,,25,10,nein,,,,,,,,,,,,,,,,5
2483,940,Nichtschwimmerbecken,,,,12.5,9.5,,nein,,,,nein,,,,,,,,,,,
19768,941,Kleinkinderbecken,,2,,,,ja,nein,0.01,0.6,,nein,,nein,,nein,nein,nein,nein,nein,nein,,0
19769,941,Nichtschwimmerbecken,nein,2,,25,,,,0.8,1.8,,nein,Rutsche,nein,ja,nein,nein,nein,nein,nein,ja,,0
19770,941,Schwimmerbecken,ja,2,,,,nein,nein,1.8,3.9,,ja,,ja,ja,nein,ja,ja,ja,ja,ja,,6
2484,942,Schwimmerbecken,,,,25,10,nein,ja,0.9,1.8,,nein,,,,,,,,,,,
2485,943,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,5
2486,943,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2488,946,Kursbecken,nein,,,12.5,8,nein,ja,,1.8,,nein,,,,,,,,,,,
2489,946,Nichtschwimmerbecken,ja,,450,,,ja,nein,1.35,1.35,,nein,,,,,,,,,,,
2490,946,Schwimmerbecken,nein,,,50,,nein,ja,,,,nein,,,,,,,,,,,8
2491,946,Wellenbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2492,946,Tauchbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2493,946,Warmsprudelbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2494,946,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2495,946,Wellenbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2496,946,Nichtschwimmerbecken,ja,,,,,ja,nein,,,,nein,,,,,,,,,,,
2497,947,Schwimmerbecken,ja,2,1225,50,24.5,nein,nein,1.95,3.9,,ja,"Treppe, Leitern",ja,nein,ja,ja,nein,ja,ja,nein,,7
20093,947,Nichtschwimmerbecken,ja,2,,25,18,nein,nein,0.68,1.2,,nein,"Treppen, Sprudelliegen, Strömungskanal, Bodensprudler",nein,ja,nein,nein,nein,nein,nein,ja,,0
20094,947,Kursbecken,nein,2,450,25,18,nein,nein,1.2,1.31,,nein,"Treppe, Leitern, Nackenduschen, Massagedüsen",ja,ja,nein,nein,nein,ja,nein,ja,,
20095,947,Kleinkinderbecken,ja,2,,10,15,nein,nein,0.02,0.3,,nein,"Rutsche, Wasserpilz",nein,nein,nein,nein,nein,nein,nein,nein,,
2498,948,Springerbecken,nein,,,,,ja,nein,,,,ja,,,,,,,,,,,
2499,948,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,8
2500,948,Wellenbecken,ja,,,50,,nein,nein,,,,nein,,,,,,,,,,,
2501,948,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2502,949,Schwimmerbecken,nein,,,25,,ja,nein,,1.85,,,,,,,,,,,,,
19646,950,Schwimmerbecken,nein,,,,,,,,,,,,,,,,,,,,,4
2503,951,Schwimmerbecken,ja,,,,,nein,nein,,,,ja,,,,,,,,,,,
2504,951,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2505,951,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2506,952,Schwimmerbecken,ja,,,50,,nein,nein,,,,ja,,,,,,,,,,,8
2507,952,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
2508,952,Kleinkinderbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
2512,955,Schwimmerbecken,nein,,,25,12.5,nein,nein,1.4,1.9,,nein,,,,,,,,,,,5
2513,955,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.3,,nein,,,,,,,,,,,
2514,955,Nichtschwimmerbecken,ja,,,,,ja,nein,1,1,,nein,,,,,,,,,,,
2515,956,Schwimmerbecken,nein,,,25,10,ja,nein,1,1,,nein,,,,,,,,,,,4
2516,956,Nichtschwimmerbecken,nein,,,10,10,ja,nein,1,1,,nein,,,,,,,,,,,
2517,956,Kleinkinderbecken,,,,4,4,,nein,,,,nein,,,,,,,,,,,
2519,958,Schwimmerbecken,,,,25,,,,,,,,,,,,,,,,,,
2520,958,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
2521,958,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2522,958,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2523,959,Kursbecken,,,,16.66,8,,ja,0.6,1.8,,,,,,,,,,,,,
2524,960,Schwimmerbecken,,,,25,12,,,,,,,,,,,,,,,,,
2525,960,Nichtschwimmerbecken,,,,12,6,,,,,,,,,,,,,,,,,
2526,960,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2527,961,Schwimmerbecken,nein,,,25,,,,1,3,,ja,,,,,,,,,,,
2528,961,Nichtschwimmerbecken,ja,,,,,,,,,,nein,,,,,,,,,,,
2529,961,Kleinkinderbecken,ja,,,,,,,,,,nein,,,,,,,,,,,
2530,961,Warmsprudelbecken,nein,,,,,,,,,,nein,,,,,,,,,,,
2531,962,Schwimmerbecken,nein,1,,50,20,nein,nein,,1,,nein,Einstiegshilfe,ja,,,nein,nein,,,,,7
2532,962,Nichtschwimmerbecken,ja,,,,,ja,,,1,,nein,,,,,,,,,,,
2533,962,Kleinkinderbecken,ja,,,,,ja,,,,,,,,,,,,,,,,
2534,963,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2535,963,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2536,963,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2537,964,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2538,964,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2539,964,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
2540,964,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2541,964,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2542,965,Schwimmerbecken,,,,20,8,nein,,1.3,1.7,,,,,,,,,,,,,
2543,965,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
2547,967,Schwimmerbecken,,,,25,12.5,,,,,,,,,,,,,,,,,5
2548,967,Nichtschwimmerbecken,,,,12.5,8,,,,,,,,,,,,,,,,,
19772,968,Schwimmerbecken,nein,,312.5,25,12.5,nein,nein,1.8,2.3,,nein,"Zugang durch das Nichtschwimmerbecken möglich",ja,,nein,nein,,,ja,ja,,5
19836,968,Nichtschwimmerbecken,ja,,,,,nein,nein,0.6,1.25,,nein,"Guter Zugang über eine Treppe an der flachen Seite des Beckens",nein,nein,nein,nein,nein,nein,nein,ja,,
19837,968,Springerbecken,ja,,,,,nein,nein,2.3,4.1,,ja,,nein,nein,ja,nein,nein,,ja,,,
19838,968,Kleinkinderbecken,ja,,,,,nein,nein,0.1,0.3,,nein,"Sonnensegel vorhanden",nein,nein,nein,nein,nein,nein,nein,nein,,
2549,969,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2550,969,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2551,969,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
19773,975,Schwimmerbecken,ja,,,,,nein,nein,,,,,,,,,,,,,,,2
2553,976,Schwimmerbecken,nein,,,50,,,,,,,,,,,,,,,,,,6
19992,976,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
19993,976,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
19994,976,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
19669,978,Schwimmerbecken,ja,,,,,,,,,,,,,,,,,,,,,4
19670,978,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
2554,979,Nichtschwimmerbecken,ja,,,,,,,,1,,nein,,,,,,,,,,,
2555,979,Schwimmerbecken,ja,,,,,,,,1,,nein,,,,,,,,,,,
2556,979,Schwimmerbecken,ja,,,20,,,,,,,nein,,,,,,,,,,,
2559,981,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,5
2560,982,Schwimmerbecken,nein,,,25,,nein,nein,,,,ja,,,,,,,,,,,5
