Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
13468,6033,Schwimmerbecken,ja,,,,,nein,nein,,,,ja,"Nichtschwimmerbereich integriert",,,,,,,,,,
13469,6033,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13471,6035,Schwimmerbecken,ja,,,50,,,nein,,,,nein,,,,,,,,,,,
13472,6035,Nichtschwimmerbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13473,6035,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13476,6037,Variobecken,nein,,,25,25,,ja,,,,nein,,,,,,,,,,,
13489,6049,Schwimmerbecken,nein,,,25,8,,nein,,,,nein,,,,,,,,,,,
13495,6055,Schwimmerbecken,nein,,250,25,10,nein,nein,0.9,1.8,,nein,,,nein,nein,nein,nein,nein,ja,ja,,4
13497,6057,Variobecken,nein,,133,16.6,8,nein,ja,0.3,1.8,5,nein,,ja,,nein,nein,nein,ja,ja,ja,"Rettungsschwimmen nur teilweise, da Wassertiefe nicht ausreichend und keine 3m-Sprung-Möglichkeit",3
13506,6063,Schwimmerbecken,,,,,,nein,,,,,,,,,,,,,,,,5
13507,6063,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13508,6063,Schwimmerbecken,,,,,,nein,,,,,,,,,,,,,,,,
13509,6063,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
20326,6063,Kleinkinderbecken,,,21.99,,,,,,,,,,,,,,,,,,,
20327,6063,Kursbecken,ja,,125,10,12.5,,,,,,,,,,,,,,,,,
13519,6073,Kursbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13520,6073,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13521,6073,Kursbecken,,,,,,,,,,,,,,,,,,,,,,
13522,6073,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13523,6073,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13524,6073,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13525,6073,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13526,6074,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13527,6074,Variobecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13528,6075,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13529,6075,Schwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,7
13530,6075,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13531,6076,Kursbecken,ja,,,25,12.5,nein,nein,,,,nein,,,,,,,,,,,
13533,6076,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
13536,6080,Schwimmerbecken,nein,,,50,,ja,nein,,,,nein,,,,,,,,,,,8
13537,6080,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13538,6080,Schwimmerbecken,nein,,,,,nein,nein,,,,nein,,,,,,,,,,,
13539,6081,Kursbecken,nein,,,,,ja,,,,,nein,,,,,,,,,,,
13548,6091,Nichtschwimmerbecken,ja,,,,,nein,nein,,,,nein,,,,,,,,,,,
13549,6091,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13550,6092,Schwimmerbecken,nein,,,,,,nein,,,,nein,,,,,,,,,,,
13551,6092,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13552,6093,Kursbecken,,,,,,,,,,,,,,,,,,,,,,
13558,6099,Variobecken,ja,,,50,,nein,nein,,,,nein,,,,,,,,,,,8
13559,6099,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
13560,6100,Schwimmerbecken,,,142.38,16.75,8.5,nein,nein,,1.2,,nein,,ja,nein,nein,nein,nein,nein,ja,ja,"Aquagymnastik, Aquapower, Aquabounce",3
13561,6101,Schwimmerbecken,nein,,,25,,nein,nein,,,,nein,,,,,,,,,,,4
13562,6101,Kleinkinderbecken,,,,,,,,,40,,,,,,,,,,,,,
13582,6106,Schwimmerbecken,nein,,,25,,,nein,,,,nein,,,,,,,,,,,
13583,6106,Nichtschwimmerbecken,ja,,,,,,nein,,,,nein,,,,,,,,,,,
13584,6106,Kleinkinderbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
13587,6109,Kursbecken,,,,,,,nein,,,,nein,,,,,,,,,,,
